scraped_at,platform,search_keyword,brand_label,product_name,price_numeric,unit_type,store_name,store_location,is_east_java,total_sold,total_sold_numeric,rating_product,product_url
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,Paket Hemat Kubik Hebel Bata Ringan + Perekat 40kg  (Lem/Semen) BLESSCON AMABLOCK AMACON,1481000.0,m3,,Jakarta Timur,False,,,,https://www.tokopedia.com/pjeruknipis/paket-hemat-kubik-hebel-bata-ringan-perekat-40kg-lem-semen-blesscon-amablock-amacon-1733896182878405665
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,Bata ringan Blesscon ( 1 rit ),6795900.0,rit,,Aneka Bangunan Surabaya,True,2 terjual,2.0,5.0,https://www.tokopedia.com/anekabangunansurabaya/bata-ringan-blesscon-1-rit
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,BATA RINGAN BLESSCON (min. 1 DO: 11.52 m³) | HEBEL AAC MURAH,75000.0,m3,,Aneka Bangunan Surabaya,True,1rb+ terjual,1000.0,4.9,https://www.tokopedia.com/anekabangunansurabaya/bata-ringan-blesscon-min-1-do-11-52-m-hebel-aac-murah-mortar-perekat
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,BATA RINGAN / HEBEL BLESSCON SURABAYA & SIDOARJO |LANGSUNG DARI PABRIK,525000.0,,,Kab. Mojokerto,True,24 terjual,24.0,5.0,https://www.tokopedia.com/agunamadyantara/bata-ringan-hebel-blesscon-surabaya-sidoarjo-langsung-dari-pabrik-1-kubik-b5eb9
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,BATA RINGAN / HEBEL BLESSCON JAWA TIMUR ZONA 2 | LANGSUNG DARI PABRIK,520000.0,,,Kab. Mojokerto,True,50+ terjual,50.0,5.0,https://www.tokopedia.com/agunamadyantara/bata-ringan-hebel-blesscon-jawa-timur-zona-2-langsung-dari-pabrik-mojokerto-1-kubik-a6f0c
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,Bata ringan hebel blesscon eceran wilayah Pasuruan,640000.0,,,TB HAMDALAHKab. Pasuruan,True,9 terjual,9.0,5.0,https://www.tokopedia.com/tokobangunanhamdalah/bata-ringan-hebel-blesscon-eceran-wilayah-pasuruan
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,Bata Ringan Blesscon Murah Daerah Pasuruan minim 1 DO (11.52),615000.0,,,TB HAMDALAHKab. Pasuruan,True,40+ terjual,40.0,5.0,https://www.tokopedia.com/tokobangunanhamdalah/bata-ringan-blesscon-murah-daerah-pasuruan-minim-1-do-11-52-1m3
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,"HARGA PERKUBIK!!! Ready Stok Bata ringan - hebel - bata putih eceran - retail - kubikan merk bricon, fastcon, blesscon",750000.0,m3,,MEGATrussGlobalMalang,True,30+ terjual,30.0,5.0,https://www.tokopedia.com/megatrussglobal/harga-perkubik-ready-stok-bata-ringan-hebel-bata-putih-eceran-retail-kubikan-merk-bricon-fastcon-blesscon-1733117827487532819
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,Bata Ringan/ Hebel Blesscon SNI Free Semen Perekat - BREBES,7637760.0,,,Blesscon OfficialSurabaya,True,2 terjual,2.0,5.0,https://www.tokopedia.com/blessconofficial/bata-ringan-hebel-blesscon-sni-free-semen-perekat-brebes-1733294287221917558
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,bata ringan bricon dan blesscon,8000.0,,,Kab. Sragen,False,1 terjual,1.0,,https://www.tokopedia.com/bataringan-sukowati/bata-ringan-bricon-dan-blesscon-1729612445542614982
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,BATA RINGAN BLESSCON STANDART A1,640000.0,,,AKAS JAYA GroupKab. Mojokerto,True,,,,https://www.tokopedia.com/akas-jaya-group/bata-ringan-blesscon-standart-a1-1729663679796315328
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,bata ringan sukowati bricon dan blesscon,9000.0,,,Kab. Sragen,False,,,,https://www.tokopedia.com/bataringan-sukowati/bata-ringan-sukowati-bricon-dan-blesscon-1729614904272717766
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,bata ringan hebel sragen BRICON dan BLESSCON,8900.0,,,Kab. Sragen,False,1 terjual,1.0,,https://www.tokopedia.com/bataringan-sukowati/bata-ringan-hebel-sragen-bricon-dan-blesscon-1729611505393174470
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,BATA RINGAN / HEBEL BLESSCON JAWA TIMUR ZONA 1 | LANGSUNG DARI PABRIK,552500.0,,,Kab. Mojokerto,True,,,,https://www.tokopedia.com/agunamadyantara/bata-ringan-hebel-blesscon-jawa-timur-zona-1-langsung-dari-pabrik-caruban-1-kubik-d3d05
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,BATA RINGAN / HEBEL BLESSCON JAWA TIMUR ZONA 3 | LANGSUNG DARI PABRIK,555000.0,,,Kab. Mojokerto,True,,,,https://www.tokopedia.com/agunamadyantara/bata-ringan-hebel-blesscon-jawa-timur-zona-3-langsung-dari-pabrik-malang-1-kubik-23a30
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,Bata Ringan/ Hebel Blesscon SNI Free Semen Perekat 1 DO  - BANYUMAS,6750720.0,,,Blesscon OfficialSurabaya,True,1 terjual,1.0,,https://www.tokopedia.com/blessconofficial/bata-ringan-hebel-blesscon-sni-free-semen-perekat-1-do-banyumas-1733294152305182582
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,Bata Ringan/ Hebel Blesscon SNI Free Semen Perekat - PURBALINGGA,6877440.0,,,Blesscon OfficialSurabaya,True,,,,https://www.tokopedia.com/blessconofficial/bata-ringan-hebel-blesscon-sni-free-semen-perekat-purbalingga-1733294109428713334
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,Bata Ringan/ Hebel Blesscon,780000.0,,,Kab. Bantul,False,10 terjual,10.0,,https://www.tokopedia.com/lancarbesi/bata-ringan-hebel-blesscon-10cm-42982
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,Bata Ringan Blesscon A1 Gratis Ongkir,595000.0,,,arif hebelKab. Mojokerto,True,,,,https://www.tokopedia.com/arifhebel/bata-ringan-merk-blesscon-murah-gratis-ongkir-langsung-pabrik
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,"Bata Ringan/ Hebel Blesscon SNI Free Semen Perekat 1 DO (11,52m3) - TEGAL",7637760.0,,,Blesscon OfficialSurabaya,True,,,,https://www.tokopedia.com/blessconofficial/bata-ringan-hebel-blesscon-sni-free-semen-perekat-1-do-11-52m3-tegal-1733294288658925430
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,Bata Ringan Probolinggo + Mortar Blesscon,625000.0,,,Metro HarmoniKab. Sidoarjo,True,,,,https://www.tokopedia.com/metro-harmoni/bata-ringan-probolinggo-mortar-blesscon
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,"Bata Ringan BLESSCON ""Tebal 10cm"" – Ringan, Presisi, dan Tahan Gempa",655000.0,,,Surabaya,True,,,,https://www.tokopedia.com/nobelbangunperkasa/bata-ringan-blesscon-ori-grade-a
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,bata ringan blesscon 10cm,600000.0,,,BPM Tools & MaterialsSurabaya,True,,,,https://www.tokopedia.com/bpm-tools--materials/bata-ringan-blesscon-10cm
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,Termurah HEBEL / BATA RINGAN AAC SNI Merk BLESSCON ALFACON AMABLOCK AMACON DLL (Sudah termasuk Bongkar),983000.0,,,mgdshop-3,False,,,,https://www.tokopedia.com/mgdshop-1/termurah-hebel-bata-ringan-aac-sni-merk-blesscon-alfacon-amablock-amacon-dll-sudah-termasuk-bongkar-1732539464829863792
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,BATA RINGAN BLESSCON 60x20x10cm BLESS CON,7070000.0,,,keramikjayaindahSurabaya,True,,,,https://www.tokopedia.com/keramikjayaindah/bata-ringan-blesscon-60x20x10cm-bless-con
2026-04-09 13:52:44,Tokopedia,Bata Ringan Blesscon,Blesscon,Bata Ringan/ Hebel Blesscon SNI Free Semen Perekat - DEMAK,7511040.0,,,Blesscon OfficialSurabaya,True,,,,https://www.tokopedia.com/blessconofficial/bata-ringan-hebel-blesscon-sni-free-semen-perekat-demak-1733294226141710198
